episode_id,section_id,event_idx,event_type,date_raw,year,month,place,persons,sentence
E004,S01,34,shipboard_work,,,,Кронштадта,Крюднер,"""Что это такое авральная работа?"" – спросил я другого офицера."
E004,S01,35,shipboard_work,,,,Кронштадта,Крюднер,"""Это когда свистят всех наверх"", – отвечал он и занялся – авральною работою."
E004,S01,36,shipboard_work,,,,Кронштадта,Крюднер,"Я старался составить себе идею о том, что это за работа, глядя, что делают, но ничего не уразумел: делали всё то же, что вчера, что, вероятно, будут делать завтра: тянут снасти, поворачивают реи, подбирают паруса."
E004,S01,38,shipboard_work,,,,Кронштадта,Крюднер,"Авральная работа – значит общая работа, когда одной вахты мало, нужны все руки, оттого всех и ""свистят наверх""!"
E004,S01,41,weather,,,,Кронштадта,Крюднер,Барон Крюднер в трех шагах от меня насвистывал под шум бури мотив из оперы.
E004,S01,47,illness_danger,,,,Кронштадта,Крюднер,Вскоре обнаружилась морская болезнь у молодых и подверженных ей или не бывших давно в походе моряков.
E004,S01,49,observation_reflection,,,,Кронштадта,Крюднер,"Между тем наблюдал за другими: вот молодой человек, гардемарин, бледнеет, опускается на стул; глаза у него тускнеют, голова клонится на сторону."
E005,S01,2,illness_danger,,,,Кронштадта,Шлипенбах,"Я не знал, на что решиться, чтобы предупредить болезнь, и закурил сигару."
E005,S01,3,illness_danger,,,,Кронштадта,Шлипенбах,"Болезнь всё не приходила, и я тревожно похаживал между больными, ожидая – вот-вот начнется."
E005,S01,4,weather,,,,Кронштадта,Шлипенбах,"""Вы курите в качку сигару и ожидаете после этого, что вас укачает: напрасно!"" – сказал мне один из спутников."
E005,S01,8,shipboard_work,,,,Кронштадта,Шлипенбах,"С первого раза невыгодно действует на воображение всё, что потом привычному глазу кажется удобством: недостаток света, простора, люки, куда люди как будто проваливаются, пригвожденные к стенам комоды и диваны, привязанные к полу столы и стулья, тяжелые орудия, ядра и картечи, правильными кучами на кранцах, как на подносах, расставленные у орудий; груды снастей, висящих, лежащих, двигающихся и непо"
E005,S01,9,shipboard_work,,,,Кронштадта,Шлипенбах,"Робко ходит в первый раз человек на корабле: каюта ему кажется гробом, а между тем едва ли он безопаснее в многолюдном городе, на шумной улице, чем на крепком парусном судне, в океане."
E005,S01,20,shipboard_work,,,,Кронштадта,Шлипенбах,"Но не знать петербургскому жителю, что такое палуба, мачта, реи, трюм, трап, где корма, где нос, главные части и принадлежности корабля, – не совсем позволительно, когда под боком стоит флот."
E005,S01,22,meeting,,,,Кронштадта,Шлипенбах,"А примут отлично, как хорошие знакомые; даже самолюбию их будет приятно участие к их делу, и они познакомят вас с ним с радушием и самою изысканною любезностью."
E005,S01,23,shipboard_work,,,,Кронштадта,Шлипенбах,"Поезжайте летом на кронштадтский рейд, на любой военный корабль, адресуйтесь к командиру, или старшему, или, наконец, к вахтенному (караульному) офицеру с просьбой осмотреть корабль, и если нет ""авральной"" работы на корабле, то я вам ручаюсь за самый приятный прием."
E005,S01,26,arrival,,,,Кронштадта,Шлипенбах,"Не прошло минуты, ко мне подошли три офицера: барон Шлипенбах, мичманы Болтин и Колокольцев – мои будущие спутники и отличные приятели."
E005,S01,27,arrival,,,,Кронштадта,Шлипенбах,С ними подошла куча матросов.
E005,S01,29,movement,,,,Кронштадта,Шлипенбах,"Пока барон Шлипенбах водворял меня в ней, Болтин привел молодого, коренастого, гладко остриженного матроса."
E005,S01,31,meeting,,,,Кронштадта,Шлипенбах,"Это был Фаддеев, с которым я уже давно познакомил вас."
E005,S01,35,movement,,,,"Англии, Кронштадта",Шлипенбах,"Я изучил его недели в три окончательно, то есть пока шли до Англии; он меня, я думаю, в три дня."
E005,S01,40,stay,,,,"Англии, Кронштадта",Шлипенбах,"Через полчаса всё было на своем месте, между прочим и книги, которые он расположил на комоде в углу полукружием и перевязал, на случай качки, веревками так, что нельзя было вынуть ни одной без его же чудовищной силы и ловкости, и я до Англии пользовался книгами из чужих библиотек."
E006,S01,2,stay,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","В кают-компании стоял длинный стол, какие бывают в классах, со скамьями."
E006,S01,5,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Как ни массивен этот стол, но, при сильной качке, и его бросало из стороны в сторону, и чуть было однажды не задавило нашего миньятюрного, доброго, услужливого распорядителя офицерского стола П."
E006,S01,10,stay,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Платье висело на перегородке, белье лежало в ящиках, устроенных в постели, книги стояли на полках."
E006,S01,11,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Офицеров никого не было в кают-компании: все были наверху, вероятно ""на авральной работе""."
E006,S01,12,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева",Подали холодную закуску.
E006,S01,19,meeting,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","""Пудов пятьсот приняли: остается еще принять пудов триста"". – ""А где он у вас лежит?"" – еще с бульшим участием спросил я."
E006,S01,21,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Я немного приостановился жевать при мысли, что подо мной уже лежит пятьсот пудов пороху и что в эту минуту вся ""авральная работа"" сосредоточена на том, чтобы подложить еще пудов триста."
E006,S01,27,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Я думал, судя по прежним слухам, что слово ""чай"" у моряков есть только аллегория, под которою надо разуметь пунш, и ожидал, что когда офицеры соберутся к столу, то начнется авральная работа за пуншем, загорится живой разговор, а с ним и носы, потом кончится дело объяснениями в дружбе, даже объятиями, – словом, исполнится вся программа оргии."
E006,S01,29,stay,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Но, к удивлению и удовольствию моему, на длинном столе стоял всего один графин хереса, из которого человека два выпили по рюмке, другие и не заметили его."
E006,S01,33,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","""Бывало, сменишься с вахты иззябший и перемокший – да как хватишь стаканов шесть пунша!.."" – говорил он."
E006,S01,34,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Фаддеев устроил мне койку, и я, несмотря на октябрь, на дождь, на лежавшие под ногами восемьсот пудов пороха, заснул, как редко спал на берегу, утомленный хлопотами переезда, убаюканный свежестью воздуха и новыми, не неприятными впечатлениями."
E006,S01,35,observation_reflection,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Утром я только что проснулся, как увидел в каюте своего городского слугу, который не успел с вечера отправиться на берег и ночевал с матросами."
E006,S01,37,illness_danger,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Говорят, вон с этого бревна, что наверху поперек висит…"" – ""С рея, – поправил я. – Что ж случилось?"" – ""В бурю ветром пятнадцать человек в море снесло; насилу вытащили, а один утонул."
E006,S01,38,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Не ездите, Христа ради!"" Вслушавшись в наш разговор, Фаддеев заметил, что качка ничего, а что есть на море такие места, где ""крутит"", и когда корабль в эдакую ""кручу"" попадает, так сейчас вверх килем повернется."
E006,S01,40,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Итак, мы снялись с якоря."
E006,S01,41,movement,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Море бурно и желто, облака серые, непроницаемые; дождь и снег шли попеременно – вот что провожало нас из отечества."
E006,S01,42,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева",Ванты и снасти леденели.
E006,S01,44,movement,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Фрегат, со скрипом и стоном, переваливался с волны на волну; берег, в виду которого шли мы, зарылся в туманах."
E006,S01,45,shipboard_work,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Вахтенный офицер, в кожаном пальто и клеенчатой фуражке, зорко глядел вокруг, стараясь не выставлять наружу ничего, кроме усов, которым предоставлялась полная свобода мерзнуть и мокнуть."
E006,S01,47,meeting,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева",Я в предыдущих письмах познакомил вас с ним и почти со всеми моими спутниками.
E006,S01,51,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","А теперь, в туман, дед, как ни напрягал зрение, не мог видеть Нервинского маяка."
E006,S01,55,weather,,,,Кронштадта,"А. А. Болтин, П. А. Тихменева","Он тут, непременно тут, вот против этой ванты, – ворчал он, указывая коротеньким пальцем в туман, – да каторжный туман мешает"". – ""Ах ты, Господи! поди-ка посмотри ты, не увидишь ли?"" – говорил он кому-нибудь из матрос."
E007,S01,2,shipboard_work,,,,Кронштадта,,"Виден, виден! – торжественно говорил он и капитану, и старшему офицеру, и вахтенному и бегал то к карте в каюту, то опять наверх. – Виден, вот, вот он, весь виден!"" – твердил он, радуясь, как будто увидел родного отца."
E007,S01,4,movement,,,,Кронштадта,,Мы прошли Готланд.
E007,S01,8,movement,,,,Кронштадта,,"Прошли и Борнгольм – помните ""милый Борнгольм"" и таинственную, недосказанную легенду Карамзина?"
E007,S01,9,weather,,,,Кронштадта,,"Всё было холодно, мрачно."
E007,S01,10,illness_danger,,,,"Дании, Кронштадта",,"На фрегате открылась холера, и мы, дойдя только до Дании, похоронили троих людей, да один смелый матрос сорвался в бурную погоду в море и утонул."
E007,S01,13,movement,,,,Кронштадта,,Но дни шли своим чередом и жизнь на корабле тоже.
E007,S01,15,shipboard_work,,,,Кронштадта,,Обед – это тоже своего рода авральная работа.
E007,S01,23,observation_reflection,,,,Кронштадта,,"""Но одно блюдо за обедом – этого мало, – думалось мне, – матросы, пожалуй, голодны будут"". – ""А много ли вы едите?"" – спросил я."
E007,S01,27,shipboard_work,,,,Кронштадта,,"После обеда, по окончании работ, особенно в воскресенье, обыкновенно раздается команда: ""Свистать песенников наверх!"" И начинается веселье."
E007,S01,29,weather,,,,Кронштадта,,"Холодный туман покрывал небо и море, шел мелкий дождь."
E007,S01,37,weather,,,,Кронштадта,,"Плавание становилось однообразно и, признаюсь, скучновато: всё серое небо, да желтое море, дождь со снегом или снег с дождем – хоть кому надоест."
E007,S01,39,illness_danger,,,,Кронштадта,,"Ревматизм напомнил о себе живее, нежели когда-нибудь."
E007,S01,42,illness_danger,,,,Кронштадта,,"Холера исчезла со всеми признаками, ревматизм мой унялся, и я стал выходить на улицу – так я прозвал палубу."
E007,S01,43,weather,,,,"Балтийском, Кронштадта",,Но бури не покидали нас: таков обычай на Балтийском море осенью.
E007,S01,44,weather,,,,Кронштадта,,"Пройдет день-два – тихо, как будто ветер собирается с силами, и грянет потом так, что бедное судно стонет, как живое существо."
E007,S01,49,shipboard_work,,,,Кронштадта,,"Я, лежа у себя в койке, слышу всякий стук, крик, всякое движение парусов, командные слова и начинаю понимать смысл последних."
E007,S01,51,shipboard_work,,,,Кронштадта,,"Зато как навостришь уши, когда велят ""брать два, три рифа"", то есть уменьшить парус."
E007,S01,53,shipboard_work,,,,Кронштадта,,"Заговорив о парусах, кстати скажу вам, какое впечатление сделала на меня парусная система."
E007,S01,56,shipboard_work,,,,Кронштадта,,"Посмотрите на постановку и уборку парусов вблизи, на сложность механизма, на эту сеть снастей, канатов, веревок, концов и веревочек, из которых каждая отправляет свое особенное назначение и есть необходимое звено в общей цепи; взгляните на число рук, приводящих их в движение."
E007,S01,58,shipboard_work,,,,Кронштадта,,"Нельзя определить срок прибытию парусного судна, нельзя бороться с противным ветром, нельзя сдвинуться назад, наткнувшись на мель, нельзя поворотить сразу в противную сторону, нельзя остановиться в одно мгновение."
E007,S01,59,weather,,,,Кронштадта,,"В штиль судно дремлет, при противном ветре лавирует, то есть виляет, обманывает ветер и выигрывает только треть прямого пути."
E007,S01,60,shipboard_work,,,,Кронштадта,,"А ведь несколько тысяч лет убито на то, чтоб выдумывать по парусу и по веревке в столетие."
E007,S01,62,shipboard_work,,,,Кронштадта,,Всех парусов до тридцати: на каждое дуновение ветра приходится по парусу.
E007,S01,63,shipboard_work,,,,Кронштадта,,"Оно, пожалуй, красиво смотреть со стороны, когда на бесконечной глади вод плывет корабль, окрыленный белыми парусами, как подобие лебедя, а когда попадешь в эту паутину снастей, от которых проходу нет, то увидишь в этом не доказательство силы, а скорее безнадежность на совершенную победу."
E007,S01,64,shipboard_work,,,,Кронштадта,,"Парусное судно похоже на старую кокетку, которая нарумянится, набелится, подденет десять юбок и затянется в корсет, чтобы подействовать на любовника, и на минуту иногда успеет; но только явится молодость и свежесть сил – все ее хлопоты разлетятся в прах."
E007,S01,65,shipboard_work,,,,Кронштадта,,"И парусное судно, обмотавшись веревками, завесившись парусами, роет туда же, кряхтя и охая, волны; а чуть задует в лоб – крылья и повисли."
E007,S01,68,shipboard_work,,,,Кронштадта,,"Это от непривычки: если б пароходы существовали несколько тысяч лет, а парусные суда недавно, глаз людской, конечно, находил бы больше поэзии в этом быстром, видимом стремлении судна, на котором не мечется из угла в угол измученная толпа людей, стараясь угодить ветру, а стоит в бездействии, скрестив руки на груди, человек, с покойным сознанием, что под ногами его сжата сила, равная силе моря, заст"
E007,S01,69,shipboard_work,,,,Кронштадта,,"Напрасно водили меня показывать, как красиво вздуваются паруса с подветренной стороны, как фрегат, лежа боком на воде, режет волны и мчится по двенадцати узлов в час."
E007,S01,72,shipboard_work,,,,Кронштадта,,"Горе моряку старинной школы, у которого весь ум, вся наука, искусство, а за ними самолюбие и честолюбие расселись по снастям."
E007,S01,74,shipboard_work,,,,Кронштадта,,Паруса остались на долю мелких судов и небогатых промышленников; всё остальное усвоило пар.
E008,S01,0,shipboard_work,,,,Кронштадта,"В. А. Корсаков, Шлипенбах",Ни на одной военной верфи не строят больших парусных судов; даже старые переделываются на паровые.
E008,S01,2,arrival,,,,"Зунд, Кронштадта","В. А. Корсаков, Шлипенбах","Мы вошли в Зунд; здесь не видавшему никогда ничего, кроме наших ровных степных местностей, в первый раз являются в тумане картины гор, желтых, лиловых, серых, смотря по освещению солнца и расстоянию."
E008,S01,6,weather,,,,"Дании, Кронштадта","В. А. Корсаков, Шлипенбах","Романтики, глядя на крепости обоих берегов, припоминали могилу Гамлета; более положительные люди рассуждали о несправедливости зундских пошлин, самые положительные – о необходимости запастись свежею провизией, а все вообще мечтали съехать на сутки на берег, ступить ногой в Данию, обегать Копенгаген, взглянуть на физиономию города, на картину людей, быта, немного расправить ноги после качки, поесть"
E008,S01,8,stay,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","На другой день заревел шторм, сообщения с берегом не было, и мы простояли, помнится, трое суток в печальном бездействии."
E008,S01,11,meeting,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Обедали, пили чай, разговаривали, читали, заучили картину обоих берегов наизусть, и все-таки времени оставалось много."
E008,S01,13,shipboard_work,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Вбежит иногда в капитанскую каюту вахтенный и тревожно скажет: ""Купец наваливается, ваше высокоблагородие!"" Книги, обед – всё бросается, бегут наверх; я туда же."
E008,S01,14,shipboard_work,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","В самом деле, купеческое судно, называемое в море коротко купец, для отличия от военного, сбитое течением или от неуменья править, так и ломит, или на нос, или на корму, того и гляди стукнется, повредит как-нибудь утлегарь, поломает реи – и не перечтешь, сколько наделает вреда себе и другим."
E008,S01,19,meeting,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Там всё принесено в жертву экономии; от этого людей на них мало, рулевой большею частию один: нельзя понадеяться, что ночью он не задремлет над колесом и не прозевает встречных огней."
E008,S01,24,movement,,,,"Каттегат, Кронштадта",Шлипенбах,"Барон Шлипенбах один послан был по делу на берег, а потом, вызвав лоцмана, мы прошли Зунд, лишь только стихнул шторм, и пустились в Каттегат и Скагеррак, которые пробежали в сутки."
E008,S01,26,illness_danger,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Это ""История кораблекрушений"", в которой собраны за старое и новое время все случаи известных кораблекрушений со всеми последствиями."
E008,S01,31,illness_danger,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Только и говорится о том, как корабль стукнулся о камень, повалился на бок, как рухнули мачты, палубы, как гибли сотнями люди – одни раздавленные пушками, другие утонули…"
E008,S01,35,illness_danger,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Потом, вникая в устройство судна, в историю всех этих рассказов о кораблекрушениях, видишь, что корабль погибает не легко и не скоро, что он до последней доски борется с морем и носит в себе пропасть средств к защите и самохранению, между которыми есть много предвиденных и непредвиденных, что, лишась почти всех своих членов и частей, он еще тысячи миль носится по волнам, в виде остова, и долго хра"
E008,S01,38,illness_danger,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Срежет ли ураган у корабля все три мачты: кажется, как бы не погибнуть?"
E008,S01,41,illness_danger,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Оказывается ли сильная пробоина, ее затягивают на первый случай просто парусом – и отверстие ""засасывается"" холстом и не пропускает воду, а между тем десятки рук изготовляют новые доски, и пробоина заколачивается."
E008,S01,42,arrival,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Наконец судно отказывается от битвы, идет ко дну: люди бросаются в шлюпку и на этой скорлупке достигают ближайшего берега, иногда за тысячу миль."
E008,S01,43,weather,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","В Немецком море, когда шторм утих, мы видели одно такое безнадежное судно."
E008,S01,46,observation_reflection,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Подойдя ближе, мы не заметили никакого движения на нем."
E008,S01,47,movement,,,,Кронштадта,"В. А. Корсаков, Шлипенбах",Наконец поехали на шлюпке к нему – на нем ни одного человека: судно было брошено на гибель.
E008,S01,48,shipboard_work,,,,Кронштадта,"В. А. Корсаков, Шлипенбах","Трюм постоянно наполнялся водой, и если б мы остались тут, то, вероятно, к концу дня увидели бы, как оно погрузится на дно."
E009,S01,2,observation_reflection,,,,Кронштадта,"Аввакум, П. А. Тихменеву","В этот же день, недалеко от этого корабля, мы увидели еще несколько точек вдали и услышали крик."
E009,S01,6,illness_danger,,,,Кронштадта,"Аввакум, П. А. Тихменеву","Это, вероятно, погибающие просят о помощи: нельзя ли поворотить?"" Капитан был убежден в противном; но, чтоб не брать греха на душу, велел держать на рыбаков."
E009,S01,9,shipboard_work,,,,Кронштадта,"Аввакум, П. А. Тихменеву","Приготовить брандспойты!"" – приказал он вахтенному (брандспойты – пожарные трубы)."
E009,S01,15,shipboard_work,,,,Кронштадта,"Аввакум, П. А. Тихменеву","""Брандспойты!"" – закричал вахтенный, и рыбакам задан был обильный душ, к несказанному удовольствию наших матросов, и рыбаков тоже, потому что и они засмеялись вместе с нами."
E009,S01,18,weather,,,,"Английский, Кронштадта","Аввакум, П. А. Тихменеву",Задул постоянный противный ветер и десять дней не пускал войти в Английский канал.
E009,S01,27,weather,,,,Кронштадта,"Аввакум, П. А. Тихменеву","Но лишь только задул противный ветер, стали опасаться, что он задержит нас долго в море, и решили беречь свежие припасы."
E009,S01,55,meeting,,,,Кронштадта,"Аввакум, П. А. Тихменеву","Он, по общему выбору, распоряжался хозяйством кают-компании, и вот тут-то встречалось множество поводов обязать того, другого, вспомнить, что один любит такое-то блюдо, а другой не любит и т. п."
E010,S01,9,shipboard_work,,,,Кронштадта,,"""Завтра на вахту рано вставать, – говорит он, вздыхая, – подложи еще подушку, повыше, да постой, не уходи, я, может быть, что-нибудь вздумаю!"" Вот к нему-то я и обратился с просьбою, нельзя ли мне отпускать по кружке пресной воды на умыванье, потому-де, что мыло не распускается в морской воде, что я не моряк, к морскому образу жизни не привык, и, следовательно, на меня, казалось бы, строгость эта "
E010,S01,17,observation_reflection,,,,Кронштадта,,"""Ну, нечего делать: le devoir avant tout, – сказал я, – я не думал, что это так строго""."
